"tract","Name","Incarceration_Rate_rP_gP_pall"
51510200702,"Eisenhower East, Alexandria, VA",0.0006
11001007000,"Southeast Washington, Washington, DC",0.0005
11001001001,"American University Park, Washington, DC",0.0005
11001000901,"Northwest Washington, Washington, DC",0.0005
51510200701,"Eisenhower West, Alexandria, VA",0.0005
51059451300,"Falls Church, VA",0.0005
24033806400,"University Park, MD",0.0004
11001000801,"Northwest Washington, Washington, DC",0.0004
51013102802,"Claremont, Arlington, VA",0.0004
24031705400,"Chevy Chase, MD",0.0004
11001001301,"Northwest Washington, Washington, DC",0.0004
51059452000,"Annandale, VA",0.0004
51610500300,"Falls Church, VA",0.0004
51013103700,"Arlington Ridge, Arlington, VA",0.0004
24031705502,"Chevy Chase, MD",0.0004
51059451602,"Falls Church, VA",0.0003
11001000600,"Northwest Washington, Washington, DC",0.0003
24031706009,"Potomac, MD",0.0003
11001010800,"Northwest Washington, Washington, DC",0.0002
51059470700,"McLean, VA",0.0002
51059450900,"Falls Church, VA",0.0002
51059470900,"Falls Church, VA",0.0002
51510200404,"Landmark, Alexandria, VA",0.0002
24031705901,"Bethesda, MD",0.0002
51059480100,"Great Falls, VA",0.0002
51059470800,"McLean, VA",0.0002
51510201500,"Potomac West, Alexandria, VA",0.0001
11001008200,"Northeast Washington, Washington, DC",0.0001
24031705602,"Chevy Chase, MD",0
24031702401,"Silver Spring, MD",0
51059450701,"Annandale, VA",0
11001001200,"Northwest Washington, Washington, DC",0
51059450400,"Falls Church, VA",0
51013100400,"Arlington, VA",0
11001000300,"Northwest Washington, Washington, DC",0
51059471201,"Tysons, VA",0
24031705601,"Bethesda, MD",0
11001005800,"Northwest Washington, Washington, DC",0
24031706013,"Bethesda, MD",0
51059471202,"McLean, VA",0
24031705300,"Chevy Chase, MD",0
24031705701,"Bethesda, MD",0
51013101801,"Court House, Arlington, VA",0
11001001500,"Northwest Washington, Washington, DC",0
11001000701,"Cathedral Heights, Washington, DC",0
51059471000,"Falls Church, VA",0
51510200900,"North Ridge, Alexandria, VA",0
11001004002,"Adams Morgan, Washington, DC",0
51059471304,"Falls Church, VA",0
51059470100,"McLean, VA",0
24031705903,"Bethesda, MD",0
51510201000,"North Ridge, Alexandria, VA",0
24031705200,"Chevy Chase, MD",0
51059420202,"Alexandria, VA",0
24031706008,"Potomac, MD",0
51013100200,"Yorktown, Arlington, VA",0
51013980100,"Arlington, VA",
51013980200,"Arlington, VA",
51059980300,"McLean, VA",
11001006202,"Northwest Washington, Washington, DC",
11001006804,"Southeast Washington, Washington, DC",
11001000201,"Georgetown, Washington, DC",
